id,name,type,region_label,country,city,priority,strategic_tier,status_legacy,local_priority,focus_areas,programs,website,phone,last_contacted,days_dormant,final_action,notes,contact_1_name,contact_1_role,contact_1_email,contact_2_name,contact_2_role,contact_2_email,contact_3_name,contact_3_role,contact_3_email
e0143,Westminster International University in Tashkent (WIUT),university,Central Asia,Uzbekistan,,Cold-storage,,No answer,,,Synergies,,,29 January 2025,,,,,Enquiry office,info@wiut.uz,,,,,,
e0144,International University of Central Asia (IUCA),university,Central Asia,Kyrgyzstan,,Cold-storage,,No answer,,,Synergies,,,29 January 2025,,,,,,,,,,,,
e0145,Kazakh-American Free University (KAFU),university,Central Asia,Kazakhstan,,Cold-storage,,No answer,,,Synergies,,,29 January 2025,,,,,,,,,,,,
e0146,American University of Afghanistan (AUAF),university,Central Asia,Afghanistan,,Cold-storage,,No answer,,,Synergies,,,29 January 2025,,,,,,,,,,,,
e0147,Nazarbayev University,university,Central Asia,Kazakhstan,,Cold-storage,,No answer,,,Synergies,,,29 January 2025,,,,,International Office,international@nu.edu.kz,,,,,,
e0148,International Ataturk-Alatoo University,university,Central Asia,Kyrgyzstan,,Cold-storage,,No answer,,,Synergies,,,29 January 2025,,,,,International Programs Coordinators,intoffice@alatoo.edu.kg,,,,,,
e0149,Università di Foggia,university,Italy,Italy,,,,,,,,,,,,,,,,,,,,,,
e0150,AEGEE-Europa (International HQ),org,IT — Student Orgs,Italy,Brussels (HQ),Cold,,,,All programs – especially Summer University format,,aegee.org,–,,,,AEGEE Summer University model aligns perfectly with H-FARM programs,,,,,,,,,
e0151,AEGEE-Venezia,org,IT — Student Orgs,Italy,Venice,Hot,,,⭐⭐,All programs – closest AEGEE to H-FARM campus,,–,–,,,,Geographical advantage; Venice-based international student network,,,,,,,,,
e0152,AEGEE-Bergamo,org,IT — Student Orgs,Italy,Bergamo (Lombardy),Cold,,,,"Startup, Entrepreneurship, Tech programs",,aegeebergamo.eu,+39 366 4389751,,,,Active; close to Milan; international network,,,,,,,,,
e0153,AEGEE-Brescia,org,IT — Student Orgs,Italy,Brescia (Lombardy),Cold,,,,"Startup, IoT, Cybersecurity programs",,aegee-brescia.it,+39 366 4389751,,,,University partnership; active section,,,,,,,,,
e0154,AEGEE-Bologna,org,IT — Student Orgs,Italy,Bologna,Cold,,,,"Entrepreneurship, AI, Finance programs",,–,–,,,,Major university city; active AEGEE section,,,,,,,,,
e0155,AEGEE-Bari,org,IT — Student Orgs,Italy,Bari (Puglia),Cold,,,,All programs,,aegee-bari.org,–,,,,Southern Italy; young and active,,,,,,,,,
e0156,AEGEE-Firenze,org,IT — Student Orgs,Italy,Florence,Cold,,,,"Fashion Lab, Brand Building, AI programs",,aegeefirenze.it,–,,,,Fashion and arts city,,,,,,,,,
e0157,AEGEE-Roma,org,IT — Student Orgs,Italy,Rome,Cold,,,,All programs,,aegeeroma.it,–,,,,Rome – large and very active section,,,,,,,,,
e0158,AEGEE-Torino,org,IT — Student Orgs,Italy,Turin,Cold,,,,"Tech, Startup, IoT programs",,aegeetorino.org,–,,,,Connected to Politecnico Torino,,,,,,,,,
e0159,AEGEE-Treviso,org,IT — Student Orgs,Italy,Treviso (Veneto),Critical,,,⭐⭐⭐,All programs – closest AEGEE to H-FARM,,aegee-treviso.eu,–,,,,H-FARM campus is near Treviso; most strategically important AEGEE section,,,,,,,,,
e0160,AEGEE-Trieste,org,IT — Student Orgs,Italy,Trieste,Cold,,,,"Tech, AI, Startup programs",,units.it/aegee,–,,,,Research-oriented university connection,,,,,,,,,
e0161,AEGEE-Udine,org,IT — Student Orgs,Italy,Udine,Cold,,,,All programs,,aegee-udine.org,–,,,,Close to Veneto; active section,,,,,,,,,
e0162,MİLANO,org,IT — Student Orgs,Italy,,Cold,,,,,,,,,,,,,,,,,,,,
e0163,AEGEE-Pisa,org,IT — Student Orgs,Italy,Pisa (Tuscany),Cold,,,,"Tech, AI, Startup, IoT programs",,aegeepisa.it,–,,,,Linked to Scuola Normale Superiore; strong academic network,,,,,,,,,
e0164,AIESEC Italy (National),org,IT — Student Orgs,Italy,Milan (HQ),Critical,,,⭐⭐⭐,All programs – especially 18–25 leadership & internship focused,,aiesec.it,+39 026 74 81070,,,,Global leadership organization; 27 local offices; SDG projects,,,,,,,,,
e0165,AIESEC Milano,org,IT — Student Orgs,Italy,Milan,Cold,,,,"Startup, Brand Building, AI, Fashion programs",,aiesec.it,–,,,,Largest local office; strong business connections,,,,,,,,,
e0166,AIESEC Bologna,org,IT — Student Orgs,Italy,Bologna,Up & Running,,,⭐⭐⭐,"Entrepreneurship, AI, Finance programs",,aiesec.it,–,,,,Active office; international internship programs,,,,,,,,,
e0167,AIESEC Roma,org,IT — Student Orgs,Italy,Rome,Cold,,,,All programs,,aiesec.it,–,,,,Large office; numerous international students,,,,,,,,,
e0168,AIESEC Napoli,org,IT — Student Orgs,Italy,Naples,Cold,,,,All programs,,aiesec.it,–,,,,Southern Italy hub,,,,,,,,,
e0169,ELSA Italy (National),org,IT — Student Orgs,Italy,Rome / National,Warm,,,⭐,"Finance, Brand Building programs",,elsa-italy.org,–,,,,Law students with interest in business law & commercial topics,,,,,,,,,
e0170,ELSA Milano,org,IT — Student Orgs,Italy,Milan,Cold,,,,"Finance, Brand Building programs",,elsa-italy.org,–,,,,Large law faculty; commercial law focus,,,,,,,,,
e0171,BEST Torino,org,IT — Student Orgs,Italy,Turin,Hot,,,⭐⭐,"IoT & AI, Cybersecurity, Startup programs",,best.eu.org,–,,,,Politecnico Torino; engineering focused; very active,,,,,,,,,
e0172,BEST Milano (Politecnico),org,IT — Student Orgs,Italy,Milan,Cold,,,,"IoT & AI, Cybersecurity, Tech programs",,best.eu.org,–,,,,Polimi connection; software & hardware focused,,,,,,,,,
e0173,BEST Bologna,org,IT — Student Orgs,Italy,Bologna,Cold,,,,"Tech, AI, IoT programs",,best.eu.org,–,,,,Strong engineering faculty,,,,,,,,,
e0174,JEF Italy / GFE (National),org,IT — Student Orgs,Italy,Rome,Warm,,,⭐,"Startup, Brand, AI programs – European dimension",,gfe.it,–,,,,Age 16–30; European integration advocates; active in 150+ cities,,,,,,,,,
e0175,Intercultura (National HQ),org,IT — Student Orgs,Italy,Colle Val d'Elsa / Rome,Critical,,,⭐⭐⭐,"Out of the Box, Startup programs – high school students (15–18)",,intercultura.it,+39 0577 90.00.01,,,,159 local centres; 1500+ students on exchange programs yearly; very strong high school network,,,,,,,,,
e0176,Intercultura Milano Office,org,IT — Student Orgs,Italy,Milan,Cold,,,,All programs for 16–18 age group,,intercultura.it,+39 02 48.51.35.86,,,,Media & communications office; suitable for promotional partnership,,,,,,,,,
e0177,AFSAI (National),org,IT — Student Orgs,Italy,Rome,Warm,,,⭐,Programs for 16–18 age group,,afsai.it,–,,,,Active since 1958; Council of Europe supported; youth mobility programs,,,,,,,,,
e0178,JEBO – Junior Enterprise Bologna,org,IT — Student Orgs,Italy,Bologna,Hot,,,⭐⭐,"Startup, Brand, AI, Finance programs",,jebo.it,–,,,,University-based consulting firm model; high entrepreneurial spirit,,,,,,,,,
e0179,JEst – Junior Enterprise Trieste,org,IT — Student Orgs,Italy,Trieste,Cold,,,,"Startup, Tech programs",,jest.it,–,,,,Technology & business development focused,,,,,,,,,
e0180,JE Parma,org,IT — Student Orgs,Italy,Parma,Cold,,,,"Startup, Brand Building programs",,jeparma.it,–,,,,Active; bridge between university and business world,,,,,,,,,
e0181,Unione degli Studenti (UDS),org,IT — Student Orgs,Italy,National (Rome-based),Cold,,,,Out of the Box – orientation program (age 16–18),,https://www.unionedeglistudenti.org/,–,,,,High school student representatives; ideal target for Out of the Box,,,,,,,,,
e0182,Rotaract District 2060 (Veneto),org,IT — Student Orgs,Italy,Veneto Region,Warm,,,⭐,"Startup, Finance, Brand Building, Entrepreneurship",,rotaract.it,–,,,,Age 18–30; professional development; entrepreneurship events; H-FARM region,,,,,,,,,
e0183,Rotaract Milano Brera,org,IT — Student Orgs,Italy,Milan,Cold,,,,All programs – especially commerce & innovation,,rotaract.it,–,,,,Milan centre; business & leadership focused,,,,,,,,,
e0184,Consiglio Nazionale Giovani (CNG),org,IT — Student Orgs,Italy,Rome (National),Hot,,,⭐⭐,All programs – umbrella institution,,consiglionazionalegiovani.it,–,,,,Umbrella body covering all Italian youth organizations; reach many orgs with a single contact,,,,,,,,,
e0185,International School of Venice,org,IT — Student Orgs,Italy,Venice (Veneto),Cold,,,,All programs – especially 16–18 orientation,,isvenice.org,–,,,,Close to H-FARM; international high school students,,,,,,,,,
e0186,NAIS – Network of International Schools,org,IT — Student Orgs,Italy,International / Italy,Cold,,,,All programs – international student source,,nais.org,–,,,,Global network of international schools; access to feeder institutions worldwide,,,,,,,,,
e0187,LeadTheFuture Italy,org,IT — Student Orgs,Italy,National (online network),Warm,,,⭐,"Startup, AI, Tech, IoT programs",,leadthefuture.tech,–,,,,Connects STEM students with mentors; high alignment with H-FARM programs,,,,,,,,,
e0188,YES Italy / Young Enterprise,org,IT — Student Orgs,Italy,National,Warm,,,⭐,"Startup, Entrepreneurship, Brand Building programs",,yes-italia.org,–,,,,High school & university entrepreneurship education; Junior Achievement network,,,,,,,,,
e0189,Confindustria Giovani,org,IT — Student Orgs,Italy,Rome / National,Cold,,,,"Startup, Finance, AI programs – corporate bridge",,confindustria.it,–,,,,Young member arm of the Italian Industry Federation; strong business connections,,,,,,,,,
e0190,ESN Italia (National),org,IT — Student Orgs,Italy,,Critical,,,⭐⭐⭐,,,,,,,,,,ESN – Erasmus Student Network,info@esn.it,,,,,,
e0191,ESN Venezia,org,IT — Student Orgs,Italy,,Critical,,,⭐⭐⭐,,,,,,,,,,ESN – Erasmus Student Network,venezia@esn.it,,,,,,
e0192,ESN Padova,org,IT — Student Orgs,Italy,,Critical,,,⭐⭐⭐,,,,,,,,,,ESN – Erasmus Student Network,esn@padova.esn.it,,,,,,
e0193,ESN Milano Bocconi,org,IT — Student Orgs,Italy,,Hot,,,⭐⭐,,,,,,,,,,ESN – Erasmus Student Network,–,,,,,,
e0194,ESN Politecnico Milano,org,IT — Student Orgs,Italy,,Hot,,,⭐⭐,,,,,,,,,,ESN – Erasmus Student Network,–,,,,,,
e0195,ESN Firenze,org,IT — Student Orgs,Italy,,Hot,,,⭐⭐,,,,,,,,,,ESN – Erasmus Student Network,info@firenze.esn.it,,,,,,
e0196,Istanbul Bilgi University,university,Türkiye — Universities,Turkey,,Cold-storage,,No answer,,,Synergies,,,29 January 2025,,,,,Bilateral Programs Outgoing Students,bilateral@bilgi.edu.tr,,,,,,
e0197,Istanbul Aydın University,university,Türkiye — Universities,Turkey,,Not interested,,Not interested,,,Synergies,,,29 January 2025,,,,Director Dr. Zafer ASLAN,International Relations Directorate,zaferaslan@aydin.edu.tr,,,,,,
e0198,Yeditepe University,university,Türkiye — Universities,Turkey,,Cold-storage,,No answer,,,Synergies,,,29 January 2025,,,,,,International exchange and cooperation office: globalstudy@yeditepe.edu.tr,,,,,,
e0199,Altınbaş University,university,Türkiye — Universities,Turkey,,Cold-storage,,No answer,,,Synergies,,,29 January 2025,,,,,International,international@altinbas.edu.tr,,,,,,
e0200,Üsküdar University,university,Türkiye — Universities,Turkey,,Cold-storage,,No answer,,,Synergies,,,29 January 2025,,,,,info,info@uskudar.edu.tr,,,,,,
e0201,Edunita Yurtdışı Eğitim,agency,TR — Agencies,Turkey,Istanbul (Kadıköy — single boutique office),Up & Running,,,TOP,,,edunita.com,(+90) 216 515 59 38,2026-03-30,,,"HIDDEN GEM. Founder Gloria Day — Italian-Turkish bilingual, Italian high school alumna. 100% Italy focused. Polimi/Polito/Bologna testimonials. Architecture & Engineering prep perfectly aligned with H-FARM profile. No complaints whatsoever.",,,,,,,,,
e0202,Firenze Yurtdışı Eğitim,agency,TR — Agencies,Turkey,Istanbul (Kadıköy — Şaşkınbakkal),Up & Running,,,HIGH,,,firenze.com.tr,+90 216 302 24 55,2026-04-17,,,"Türkiye'nin en köklü İtalya odaklı eğitim danışmanlığı (30 yıl+). 30'dan fazla İtalyan üniversitesi partneri — dünya genelinde rekor. MEB onaylı İtalyanca ve İspanyolca dil merkezi bünyesinde; CILS resmi sınav merkezi. Istituto Marangoni, NABA, Domus Academy temsilcisi. 10.000'den fazla öğrenci göndermiş. 27K Instagram takipçisi. Tıp (IMAT), mühendislik ve tasarım sınavlarına hazırlık kursları. Türkiye'de İtalyan üniversite yetkililerini misafir ediyor.",,,,,,,,,
e0203,EduScala Eğitim Danışmanlık,agency,TR — Agencies,Turkey,Istanbul (Kadıköy),Hot,,,HIGH,,,eduscala.com,+90 216 599 1343,2026-04-17,,,"2019'dan beri yalnızca İtalya odaklı. Domus Academy, NABA, Istituto Marangoni ve UniCamillus'un resmi Türkiye temsilcisi. 1.000'den fazla öğrenci referansı. IMAT, TIL-I, Bocconi Test, TOLC hazırlık kursları sunuyor — H-FARM başvuru profiliyle doğrudan örtüşüyor. UED (Uluslararası Eğitim Danışmanları Derneği) üyesi. İtalya'daki ekibi sayesinde yerelde operasyonel destek kapasitesi var.",,,,,,,,,
e0204,Vera Eğitim Danışmanlık,agency,TR — Agencies,Turkey,Istanbul (Kadıköy — Bostancı),Hot,,,HIGH,,,veraedu.com,+90 216 504 20 12,2026-03-31,,,"1992'den beri İtalyanca ile içiçe; 2000'den beri eğitim danışmanlığı. 24 İtalyan okul/üniversitenin resmi Türkiye temsilcisi. Domus Academy'e rekor öğrenci gönderen tek Türk danışmanlık firması (2012 Domus davetiyesi). Blog italyada.net güçlü SEO varlığı. Mimarlık, tasarım, moda ve tıp ağırlıklı portföy — H-FARM innovation & business programlarıyla tamamlayıcı nitelikte.",,,,,,,,,
e0205,Pisa Edu (Pisa Educazione),agency,TR — Agencies,Turkey,Istanbul (Şişli),Cold,,,TOP,,,pisaedu.com,+90 212 544 24 15,2026-04-22,,,Turkey's highest-volume Italy pipeline. Turin office is close to H-FARM Treviso campus — site visit feasible. IMAT prep + summer school integration opportunity. 31K Instagram followers. italyadaegitim.com is an SEO domain belonging to the same firm.,,,,,,,,,
e0206,Aktif Yurtdışı Eğitim (Aktifedu),agency,TR — Agencies,Turkey,Istanbul (Bahçelievler),Cold,,,HIGH,,,aktifedu.com,0212 556 81 88,2026-03-26,,,"Strong Italy content depth: Bocconi, Polimi, Polito, Sapienza, Florence, Pisa, Trento — all with dedicated pages. IMAT prep content. February 2026 Bocconi blog post = active Italy focus. Multi-city reach valuable for H-FARM awareness.",,,,,,,,,
e0207,ITEBS International Education,agency,TR — Agencies,Turkey,Istanbul (Şişli – Trump Towers),Cold,,,HIGH,,,itebs.com.tr,+90 212 236 5393,2026-03-30,,,"YEDAB founding member — strong prestige signal. Active Italy student flow. ICEF + IEFT fair presence → H-FARM co-marketing opportunity. WYSETC, British Council, PABA top 7 globally memberships.",,,,,,,,,
e0208,ICES Turkey,agency,TR — Agencies,Turkey,Istanbul (multiple),Cold,,,HIGH,,,icesturkey.com,444 22 03,2026-03-30,,,AI-powered university matching platform aligns with H-FARM innovation narrative. YEDAB member. Multi-city presence. Opportunity to add H-FARM to AI matching tool.,,,,,,,,,
e0209,NGGlobal International Education,agency,TR — Agencies,Turkey,Istanbul,Cold,,,HIGH,,,ngglobal.com.tr,,2026-03-26,,,"Italy listed first on website. Small team, fast decisions. Pilot partner candidate for H-FARM summer school.",,,,,,,,,
e0210,Academix International Education,agency,TR — Agencies,Turkey,Istanbul (Taksim HQ),Cold,,,MED,,,academix.com.tr,,2026-03-26,,,Turkey's widest branch network — high co-marketing reach. Italy summer school segment exists. Study Travel Magazine Super Star Agency (5×) award.,,,,,,,,,
e0211,ELT International Education,agency,TR — Agencies,Turkey,Istanbul (Beşiktaş),Cold,,,MED,,,elt.com.tr,,2026-03-26,,,Italy student flow since 1999. Summer school collaboration potential is moderate. 25+ years of experience is a positive signal.,,,,,,,,,
e0212,Global Vizyon International Education,agency,TR — Agencies,Turkey,Istanbul (Taksim–Tünel),Cold,,,LOW,,,globalvizyon.com,0535 643 31 81,2026-03-30,,,25+ years and large headcount are positives; however complaint volume does not meet H-FARM partnership criteria.,,,,,,,,,
e0213,Eduvizyon International Education,agency,TR — Agencies,Turkey,Istanbul (Bakırköy),Cold,,,LOW,,,eduvizyon.com,0 212 543 58 06,2026-03-30,,,Franchise model could serve as an inschool channel to new cities. Italy-specific activity is limited.,,,,,,,,,
e0214,Global International Education,agency,TR — Agencies,Turkey,Istanbul,Cold,,,LOW,,,global-yurtdisiegitim.com,—,2026-03-30,,,Founded 1989 — one of Turkey's most established. No Italy specialisation and digital presence appears outdated.,,,,,,,,,
e0215,Pianeta Italia Eğitim ve Danışmanlık,agency,TR — Agencies,Turkey,Istanbul,Cold,,,HIGH,,,pianeta-italia.com,Via website,2026-03-26,,,"Tüm İtalyan devlet üniversiteleri için danışmanlık veren tek kurum olduğunu iddia ediyor. Mimarlık, mühendislik, tıp, tasarım, moda, gastronomi, sinema ağırlıklı içerik. IED Milano moda bölümü dahil birçok özel akademinin Türkiye temsilcisi. İstanbul'da MEB'e bağlı İtalyanca kursu düzenliyor. Facebook (717 beğeni + 111 ziyaret) ve aktif blog içeriği.",,,,,,,,,
e0216,Atlas Yurtdışı Eğitim Danışmanlığı,agency,TR — Agencies,Turkey,Istanbul (Taksim HQ),Cold,,,MED,,,atlasedu.com,0212 249 53 10,2026-03-26,,,"Türkiye'nin en büyük ve en köklü yurtdışı eğitim danışmanlığı (35 yıl+). ISO 9001 sertifikası. TURSAB A grubu üyesi. Study Travel Magazine Star Award'ı Türkiye'ye getiren ilk ve tek firma. ICEF, IALC, ALTO, English UK üyesi. Atlas Group bünyesinde Akare, Edcon, Orbis, Troy, Studylon gibi grup şirketleri. İtalya portföyde mevcut ancak birincil odak değil.",,,,,,,,,
e0217,FutureMe Yurt Dışı Eğitim Danışmanlığı,agency,TR — Agencies,Turkey,Istanbul,Cold,,,LOW,,,futureme.com.tr,Via website,2026-03-26,,,20+ yıllık tecrübeye sahip genel danışmanlık firması. İngiltere birincil odak; İtalya genel Avrupa portföyünde yer alıyor ancak özel içerik ya da uzmanlaşma görülmüyor. İtalya odaklı kapasitesi geliştiğinde Phase 2 adayı.,,,,,,,,,
e0218,Pava Education,agency,TR — Agencies,Turkey,Istanbul (Kadıköy) + İzmir + Milano (İtalya HQ),Cold,,,HIGH,,,pavaedu.com,+90 541 298 95 25,2026-03-26,,,"İtalya merkezli (Milano HQ) ile İstanbul ve İzmir ofisleri. Kurucu Dr. Hakan Bilici, Pavia Üniversitesi Tıp mezunu — İtalya bürokrasisine tam hakimiyet. 2023-2024 akademik yılında %93 kabul oranı iddiası. Tıp, mühendislik, mimarlık ağırlıklı; H-FARM'ın İngiltere/ABD dışı Avrupa iş dünyası profiliyle tamamlayıcı. Yeni nesil büyüyen firma.",,,,,,,,,
e0219,Robert College,school,TR — High Schools,Turkey,Istanbul,,,,HIGH,• Startup Summer (AD)Venture (Age 16–17 / 18–25)  • Out of the Box — Discover Yo,,robcol.k12.tr,+90 212 359 22 22,,,,Top priority. Seek a personal meeting with the College Counseling Office.,,University Counseling Coordinator,admission@robcol.k12.tr,,,,,,
e0220,VKV Koç School,school,TR — High Schools,Turkey,Istanbul (Tuzla),,,,HIGH,• Startup Summer (AD)Venture (Age 16–17 / 18–25)  • Designing Connected Futures,,koc.k12.tr,+90 216 585 60 60,,,,IB cohort is ideal audience. Leverage NACAC membership as a conversation opener.,,International University Counselor,info@koc.k12.tr,,,,,,
e0221,Üsküdar American Academy (UAA),school,TR — High Schools,Turkey,Istanbul (Üsküdar),,,,HIGH,• Out of the Box — Discover Yourself (Age 16–18)  • Startup Summer (AD)Venture (,,uaa.k12.tr,+90 216 333 11 00,,,,"SEV umbrella: one pitch covers UAA, IAC, TAC & SAC.",,College Counselor / Guidance Coordinator,uaainfo@uaa.k12.tr,,,,,,
e0222,Izmir American College (IAC),school,TR — High Schools,Turkey,Izmir (Göztepe),,,,HIGH,• Out of the Box — Discover Yourself (Age 16–18)  • Startup Summer (AD)Venture (,,aci.k12.tr,+90 232 355 05 55,,,,Izmir anchor. Bundle outreach with UAA & TAC under one SEV contact.,,College Counselor,info@aci.k12.tr,,,,,,
e0223,Darüşşafaka High School,school,TR — High Schools,Turkey,Istanbul (Sarıyer),,,,HIGH,• Out of the Box — Discover Yourself (Age 16–18)  • Startup Summer (AD)Venture (,,darussafaka.org,+90 212 285 17 00,,,,Explore partial scholarship options; position as merit-based opportunity.,,,,,,,,,
e0224,Tarsus American College (TAC),school,TR — High Schools,Turkey,Mersin (Tarsus),,,,HIGH,• Startup Summer (AD)Venture (Age 16–17 / 18–25)  • Out of the Box — Discover Yo,,tac.k12.tr,+90 324 615 13 60,,,,Residential profile = high readiness for international summer schools.,,College Counselor,info@tac.k12.tr,,,,,,
e0225,Enka Schools,school,TR — High Schools,Turkey,Istanbul (Sarıyer),,,,MED,• Designing Connected Futures with IoT & AI (Age 16–17 / 18–25)  • Startup Summe,,enka.k12.tr,+90 212 276 03 26,,,,"Emphasise English-language, innovation-driven curriculum.",,University Counselor,info@enka.k12.tr,,,,,,
e0226,MEF International School,school,TR — High Schools,Turkey,Istanbul (Maslak),,,,MED,• Startup Summer (AD)Venture (Age 16–17 / 18–25)  • The World of AI: Impact on M,,mef.k12.tr,+90 212 286 38 00,,,,H-FARM entrepreneurship DNA is a natural fit.,,University Guidance Coordinator,info@mef.k12.tr,,,,,,
e0227,TED Ankara College,school,TR — High Schools,Turkey,Ankara (Çankaya),,,,MED,• Startup Summer (AD)Venture (Age 16–17 / 18–25)  • Out of the Box — Discover Yo,,tedankara.k12.tr,+90 312 442 14 80,,,,TED chain: one deal cascades to Istanbul & Izmir TED colleges.,,Career & University Counselor,info@tedankara.k12.tr,,,,,,
e0228,Bilkent High School,school,TR — High Schools,Turkey,Ankara (Çankaya),,,,MED,• Designing Connected Futures with IoT & AI (Age 16–17 / 18–25)  • Defending Dig,,bilkentlisesi.k12.tr,+90 312 290 10 00,,,,Campus setting: students already exposed to higher-ed environment.,,College Counselor,info@bilkentlisesi.k12.tr,,,,,,
e0229,SEV American College (SAC),school,TR — High Schools,Turkey,Istanbul (Çekmeköy),,,,MED,• Startup Summer (AD)Venture (Age 16–17 / 18–25)  • Out of the Box — Discover Yo,,sevkoleji.k12.tr,+90 216 625 27 22,,,,Bundle SEV outreach: one institutional contact covers all four schools.,,College Counselor / Guidance Coordinator,info@sevkoleji.k12.tr,,,,,,
e0230,Eyüboğlu Schools,school,TR — High Schools,Turkey,Istanbul,,,,MED,• Startup Summer (AD)Venture (Age 16–17 / 18–25)  • The World of AI: Impact on M,,eyuboglu.k12.tr,+90 216 329 30 00,,,,Large alumni & parent network — word-of-mouth potential.,,Career & Guidance Coordinator,info@eyuboglu.k12.tr,,,,,,
e0231,Açı Schools,school,TR — High Schools,Turkey,Istanbul (Levent),,,,MED,• Startup Summer (AD)Venture (Age 16–17 / 18–25)  • Out of the Box — Discover Yo,,acischools.k12.tr,+90 212 270 52 14,,,,Progressive culture receptive to non-traditional programmes.,,Guidance Coordinator / School Counselor,info@acischools.k12.tr,,,,,,
e0232,Sabancı University Private HS,school,TR — High Schools,Turkey,Istanbul (Tuzla),,,,MED,• Startup Summer (AD)Venture (Age 16–17 / 18–25)  • Out of the Box — Discover Yo,,sabancilisesi.k12.tr,+90 216 483 90 00,,,,University brand removes scepticism. Pitch as peer institution partnership.,,,,,,,,,
e0233,Bilfen College Istanbul,school,TR — High Schools,Turkey,Istanbul (Kadıköy),,,,MED,• Startup Summer (AD)Venture (Age 16–17 / 18–25)  • Designing Connected Futures,,bilfen.com.tr,+90 216 349 15 00,,,,Frame as CV-builder and university application differentiator.,,,,,,,,,
e0234,Işık Schools Istanbul,school,TR — High Schools,Turkey,Istanbul (Şişli),,,,MED,• Out of the Box — Discover Yourself (Age 16–18)  • Startup Summer (AD)Venture (,,isikokullari.k12.tr,+90 212 330 22 00,,,,University link: parents already value post-secondary planning.,,,,,,,,,
e0235,TED Istanbul College (Bakırköy),school,TR — High Schools,Turkey,Istanbul (Bakırköy),,,,MED,• Out of the Box — Discover Yourself (Age 16–18)  • Startup Summer (AD)Venture (,,tedistanbul.k12.tr,+90 212 660 53 00,,,,Coordinate with TED Ankara & TED Izmir outreach.,,,,,,,,,
e0236,TED Üsküdar College,school,TR — High Schools,Turkey,Istanbul (Üsküdar),,,,MED,• Out of the Box — Discover Yourself (Age 16–18)  • Startup Summer (AD)Venture (,,teduskudar.k12.tr,+90 216 424 44 44,,,,Upper-income area supports programme affordability.,,School Counselor / Guidance Coordinator,info@teduskudar.k12.tr,,,,,,
e0237,İELEV Schools,school,TR — High Schools,Turkey,Istanbul (Çekmeköy),,,,MED,• Startup Summer (AD)Venture (Age 16–17 / 18–25)  • The World of AI: Impact on M,,ielev.k12.tr,+90 216 527 47 74,,,,KAYAB unit is a ready-made institutional entry point.,,KAYAB Coordinator / Guidance Specialist,info@ielev.k12.tr,,,,,,
e0238,TED Izmir College,school,TR — High Schools,Turkey,Izmir (Bornova),,,,MED,• Startup Summer (AD)Venture (Age 16–17 / 18–25)  • Out of the Box — Discover Yo,,tedizmir.k12.tr,+90 232 462 50 09,,,,Izmir TED + IAC cover the premium Izmir market.,,Career Counselor / Guidance Coordinator,info@tedizmir.k12.tr,,,,,,
e0239,Işıkkent Education Campus,school,TR — High Schools,Turkey,Izmir (Gaziemir),,,,LOW,• Out of the Box — Discover Yourself (Age 16–18)  • Startup Summer (AD)Venture (,,isikkent.k12.tr,+90 232 251 10 51,,,,Important Izmir reference school.,,Guidance Coordinator,info@isikkent.k12.tr,,,,,,
e0240,Marmara College (Maltepe),school,TR — High Schools,Turkey,Istanbul (Maltepe),,,,LOW,• Out of the Box — Discover Yourself (Age 16–18)  • Startup Summer (AD)Venture (,,marmara.k12.tr,+90 216 352 70 60,,,,Growing affluent demographic in Maltepe.,,,,,,,,,
e0241,Doğa College (Ataşehir),school,TR — High Schools,Turkey,Istanbul (Ataşehir),,,,LOW,• Startup Summer (AD)Venture (Age 16–17 / 18–25)  • Out of the Box — Discover Yo,,dogakoleji.k12.tr,+90 216 456 45 00,,,,Target HQ for framework agreement rather than individual campuses.,,School Counselor / Guidance Coordinator,info@dogakoleji.k12.tr,,,,,,
e0242,Nişantaşı Schools (Maslak),school,TR — High Schools,Turkey,Istanbul (Maslak),,,,LOW,• AI Fashion Lab: From Creative Exploration to Industry Projects (Age 18–25)  •,,nisantasischools.k12.tr,+90 212 325 59 00,,,,Creative industries angle is a strong hook.,,,,,,,,,
e0243,Okyanus College (Kadıköy),school,TR — High Schools,Turkey,Istanbul (Kadıköy),,,,LOW,• Emerals IRL: The Game (Age 18–25)  • Startup Summer (AD)Venture (Age 16–17 / 1,,okyanuskoleji.k12.tr,+90 216 345 70 00,,,,Erasmus+ track: teachers understand European programme logistics.,,,,,,,,,
e0244,IEU Schools (Izmir),school,TR — High Schools,Turkey,Izmir (Çiğli),,,,MED,• Startup Summer (AD)Venture (Age 16–17 / 18–25)  • The World of AI: Impact on M,,ieuokullari.k12.tr,+90 232 488 83 83,,,,University entrepreneurship focus = natural institutional alignment.,,,,,,,,,
e0245,Bilfen College Ankara,school,TR — High Schools,Turkey,Ankara,,,,MED,• Designing Connected Futures with IoT & AI (Age 16–17 / 18–25)  • Defending Dig,,bilfen.com.tr/ankara,+90 312 440 89 90,,,,STEM profile: receptive to H-FARM's tech & innovation content.,,,,,,,,,
e0246,Bahçeşehir College (HQ),school,TR — High Schools,Turkey,Istanbul (Şişli),,,,LOW,• Startup Summer (AD)Venture (Age 16–17 / 18–25)  • Out of the Box — Discover Yo,,bahcesehir.k12.tr,+90 212 232 90 23,,,,Pilot 1 premium campus; use results for national framework.,,Guidance Coordinator,info@bahcesehir.k12.tr,,,,,,
